rank,category,severity,related_record_ids,summary,recommended_action,confidence
38,possible_duplicate_expense,High,card_transactions:C2039;expense_reports:X3037,"Card transaction and expense line have similar merchant, date, and amount $315.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
39,possible_duplicate_expense,High,card_transactions:C2040;expense_reports:X3038,"Card transaction and expense line have similar merchant, date, and amount $450.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
40,possible_duplicate_expense,High,card_transactions:C2041;expense_reports:X3039,"Card transaction and expense line have similar merchant, date, and amount $175.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
41,possible_duplicate_expense,High,card_transactions:C2042;expense_reports:X3040,"Card transaction and expense line have similar merchant, date, and amount $716.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
42,possible_duplicate_expense,High,card_transactions:C2043;expense_reports:X3041,"Card transaction and expense line have similar merchant, date, and amount $32.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
43,possible_duplicate_expense,High,card_transactions:C2044;expense_reports:X3043,"Card transaction and expense line have similar merchant, date, and amount $89.",Check whether the expense is a reconciliation of the corporate card charge or a duplicate reimbursement request.,0.85
44,missing_ticket_or_held_itinerary,Medium,tmc_bookings:B1014,TMC booking B1014 appears held or not ticketed.,"Confirm whether this became a real trip, was abandoned, or should be excluded from spend/trip reporting.",0.85
45,refund_or_credit_review,Medium,card_transactions:C2032,Negative card transaction $-1920 may be refund/credit requiring reconciliation.,"Match credit to original charge, exchange, cancellation, or expense adjustment.",0.75
46,possible_direct_booking,Medium,card_transactions:C2001,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
47,possible_direct_booking,Medium,card_transactions:C2002,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
48,possible_direct_booking,Medium,card_transactions:C2003,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
49,possible_direct_booking,Medium,card_transactions:C2007,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
50,possible_direct_booking,Medium,card_transactions:C2009,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
51,possible_direct_booking,Medium,card_transactions:C2012,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
52,possible_direct_booking,Medium,card_transactions:C2013,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
53,possible_direct_booking,Medium,card_transactions:C2017,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
54,possible_direct_booking,Medium,card_transactions:C2019,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
55,possible_direct_booking,Medium,card_transactions:C2021,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
56,possible_direct_booking,Medium,card_transactions:C2025,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
57,possible_direct_booking,Medium,card_transactions:C2026,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
58,possible_direct_booking,Medium,card_transactions:C2027,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
59,possible_direct_booking,Medium,card_transactions:C2028,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
60,possible_direct_booking,Medium,card_transactions:C2029,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
61,possible_direct_booking,Medium,card_transactions:C2031,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
62,possible_direct_booking,Medium,card_transactions:C2032,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
63,possible_direct_booking,Medium,card_transactions:C2033,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
64,possible_direct_booking,Medium,card_transactions:C2037,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
65,possible_direct_booking,Medium,card_transactions:C2039,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
66,possible_direct_booking,Medium,card_transactions:C2041,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
67,possible_direct_booking,Medium,card_transactions:C2042,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
68,possible_direct_booking,Medium,card_transactions:C2044,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
69,possible_direct_booking,Medium,card_transactions:C2045,Travel-like card transaction was not linked to a managed TMC trip.,Review whether this was an out-of-channel/direct booking or should be linked to an existing trip.,0.7
